ProjectId,LifeCycleMonths,Opex item,Scenario,Value basis,Base year,Applicant comment,ExpenseType,Year,Cost
CL-001,36,Other,BC,Real,2025,,opex,2036,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2037,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2037,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2037,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2037,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2037,0.0
CL-001,36,Other,BC,Real,2025,,opex,2037,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2038,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2038,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2038,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2038,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2038,0.0
CL-001,36,Other,BC,Real,2025,,opex,2038,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2039,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2039,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2039,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2039,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2039,0.0
CL-001,36,Other,BC,Real,2025,,opex,2039,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2040,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2040,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2040,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2040,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2040,0.0
CL-001,36,Other,BC,Real,2025,,opex,2040,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2041,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2041,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2041,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2041,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2041,0.0
CL-001,36,Other,BC,Real,2025,,opex,2041,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2042,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2042,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2042,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2042,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2042,0.0
CL-001,36,Other,BC,Real,2025,,opex,2042,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2043,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2043,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2043,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2043,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2043,0.0
CL-001,36,Other,BC,Real,2025,,opex,2043,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2044,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2044,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2044,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2044,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2044,0.0
CL-001,36,Other,BC,Real,2025,,opex,2044,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2045,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2045,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2045,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2045,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2045,0.0
CL-001,36,Other,BC,Real,2025,,opex,2045,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2046,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2046,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2046,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2046,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2046,0.0
CL-001,36,Other,BC,Real,2025,,opex,2046,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2047,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2047,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2047,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2047,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2047,0.0
CL-001,36,Other,BC,Real,2025,,opex,2047,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2048,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2048,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2048,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2048,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2048,0.0
CL-001,36,Other,BC,Real,2025,,opex,2048,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2049,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2049,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2049,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2049,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2049,0.0
CL-001,36,Other,BC,Real,2025,,opex,2049,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2050,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2050,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2050,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2050,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2050,0.0
CL-001,36,Other,BC,Real,2025,,opex,2050,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2051,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2051,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2051,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2051,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2051,0.0
CL-001,36,Other,BC,Real,2025,,opex,2051,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2052,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2052,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2052,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2052,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2052,0.0
CL-001,36,Other,BC,Real,2025,,opex,2052,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2053,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2053,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2053,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2053,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2053,0.0
CL-001,36,Other,BC,Real,2025,,opex,2053,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2054,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2054,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2054,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2054,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2054,0.0
CL-001,36,Other,BC,Real,2025,,opex,2054,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2055,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2055,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2055,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2055,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2055,0.0
CL-001,36,Other,BC,Real,2025,,opex,2055,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2056,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2056,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2056,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2056,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2056,0.0
CL-001,36,Other,BC,Real,2025,,opex,2056,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2057,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2057,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2057,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2057,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2057,0.0
CL-001,36,Other,BC,Real,2025,,opex,2057,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2058,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2058,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2058,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2058,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2058,0.0
CL-001,36,Other,BC,Real,2025,,opex,2058,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2059,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2059,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2059,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2059,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2059,0.0
CL-001,36,Other,BC,Real,2025,,opex,2059,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2060,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2060,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2060,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2060,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2060,0.0
CL-001,36,Other,BC,Real,2025,,opex,2060,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2061,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2061,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2061,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2061,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2061,0.0
CL-001,36,Other,BC,Real,2025,,opex,2061,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2062,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2062,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2062,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2062,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2062,0.0
CL-001,36,Other,BC,Real,2025,,opex,2062,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2063,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2063,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2063,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2063,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2063,0.0
CL-001,36,Other,BC,Real,2025,,opex,2063,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2064,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2064,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2064,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2064,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2064,0.0
CL-001,36,Other,BC,Real,2025,,opex,2064,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2065,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2065,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2065,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2065,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2065,0.0
CL-001,36,Other,BC,Real,2025,,opex,2065,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2066,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2066,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2066,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2066,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2066,0.0
CL-001,36,Other,BC,Real,2025,,opex,2066,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2067,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2067,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2067,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2067,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2067,0.0
CL-001,36,Other,BC,Real,2025,,opex,2067,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2068,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2068,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2068,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2068,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2068,0.0
CL-001,36,Other,BC,Real,2025,,opex,2068,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2069,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2069,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2069,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2069,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2069,0.0
CL-001,36,Other,BC,Real,2025,,opex,2069,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2070,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2070,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2070,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2070,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2070,0.0
CL-001,36,Other,BC,Real,2025,,opex,2070,0.0
