ProjectId,LifeCycleMonths,Scenario,Fuel type,Units,Applicant comment,Year,Cost
CL-001,36,PP,LPG,GJ,,2029,0.0
CL-001,36,PP,Light fuel oil,GJ,,2029,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2029,0.0
CL-001,36,PP,Geothermal,GJ,,2029,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2029,0.0
CL-001,36,PP,Electricity,GJ,,2030,10.8
CL-001,36,PP,Natural Gas,GJ,,2030,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2030,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2030,0.0
CL-001,36,PP,Coal - lignite,GJ,,2030,0.0
CL-001,36,PP,Diesel,GJ,,2030,0.0
CL-001,36,PP,LPG,GJ,,2030,0.0
CL-001,36,PP,Light fuel oil,GJ,,2030,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2030,0.0
CL-001,36,PP,Geothermal,GJ,,2030,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2030,0.0
CL-001,36,PP,Electricity,GJ,,2031,10.8
CL-001,36,PP,Natural Gas,GJ,,2031,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2031,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2031,0.0
CL-001,36,PP,Coal - lignite,GJ,,2031,0.0
CL-001,36,PP,Diesel,GJ,,2031,0.0
CL-001,36,PP,LPG,GJ,,2031,0.0
CL-001,36,PP,Light fuel oil,GJ,,2031,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2031,0.0
CL-001,36,PP,Geothermal,GJ,,2031,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2031,0.0
CL-001,36,PP,Electricity,GJ,,2032,10.8
CL-001,36,PP,Natural Gas,GJ,,2032,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2032,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2032,0.0
CL-001,36,PP,Coal - lignite,GJ,,2032,0.0
CL-001,36,PP,Diesel,GJ,,2032,0.0
CL-001,36,PP,LPG,GJ,,2032,0.0
CL-001,36,PP,Light fuel oil,GJ,,2032,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2032,0.0
CL-001,36,PP,Geothermal,GJ,,2032,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2032,0.0
CL-001,36,PP,Electricity,GJ,,2033,10.8
CL-001,36,PP,Natural Gas,GJ,,2033,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2033,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2033,0.0
CL-001,36,PP,Coal - lignite,GJ,,2033,0.0
CL-001,36,PP,Diesel,GJ,,2033,0.0
CL-001,36,PP,LPG,GJ,,2033,0.0
CL-001,36,PP,Light fuel oil,GJ,,2033,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2033,0.0
CL-001,36,PP,Geothermal,GJ,,2033,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2033,0.0
CL-001,36,PP,Electricity,GJ,,2034,0.0
CL-001,36,PP,Natural Gas,GJ,,2034,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2034,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2034,0.0
CL-001,36,PP,Coal - lignite,GJ,,2034,0.0
CL-001,36,PP,Diesel,GJ,,2034,0.0
CL-001,36,PP,LPG,GJ,,2034,0.0
CL-001,36,PP,Light fuel oil,GJ,,2034,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2034,0.0
CL-001,36,PP,Geothermal,GJ,,2034,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2034,0.0
CL-001,36,PP,Electricity,GJ,,2035,0.0
CL-001,36,PP,Natural Gas,GJ,,2035,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2035,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2035,0.0
CL-001,36,PP,Coal - lignite,GJ,,2035,0.0
CL-001,36,PP,Diesel,GJ,,2035,0.0
CL-001,36,PP,LPG,GJ,,2035,0.0
CL-001,36,PP,Light fuel oil,GJ,,2035,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2035,0.0
CL-001,36,PP,Geothermal,GJ,,2035,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2035,0.0
CL-001,36,PP,Electricity,GJ,,2036,0.0
CL-001,36,PP,Natural Gas,GJ,,2036,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2036,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2036,0.0
CL-001,36,PP,Coal - lignite,GJ,,2036,0.0
CL-001,36,PP,Diesel,GJ,,2036,0.0
CL-001,36,PP,LPG,GJ,,2036,0.0
CL-001,36,PP,Light fuel oil,GJ,,2036,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2036,0.0
CL-001,36,PP,Geothermal,GJ,,2036,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2036,0.0
CL-001,36,PP,Electricity,GJ,,2037,0.0
CL-001,36,PP,Natural Gas,GJ,,2037,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2037,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2037,0.0
CL-001,36,PP,Coal - lignite,GJ,,2037,0.0
CL-001,36,PP,Diesel,GJ,,2037,0.0
CL-001,36,PP,LPG,GJ,,2037,0.0
CL-001,36,PP,Light fuel oil,GJ,,2037,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2037,0.0
CL-001,36,PP,Geothermal,GJ,,2037,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2037,0.0
CL-001,36,PP,Electricity,GJ,,2038,0.0
CL-001,36,PP,Natural Gas,GJ,,2038,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2038,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2038,0.0
CL-001,36,PP,Coal - lignite,GJ,,2038,0.0
CL-001,36,PP,Diesel,GJ,,2038,0.0
CL-001,36,PP,LPG,GJ,,2038,0.0
CL-001,36,PP,Light fuel oil,GJ,,2038,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2038,0.0
CL-001,36,PP,Geothermal,GJ,,2038,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2038,0.0
CL-001,36,PP,Electricity,GJ,,2039,0.0
CL-001,36,PP,Natural Gas,GJ,,2039,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2039,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2039,0.0
CL-001,36,PP,Coal - lignite,GJ,,2039,0.0
CL-001,36,PP,Diesel,GJ,,2039,0.0
CL-001,36,PP,LPG,GJ,,2039,0.0
CL-001,36,PP,Light fuel oil,GJ,,2039,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2039,0.0
CL-001,36,PP,Geothermal,GJ,,2039,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2039,0.0
CL-001,36,PP,Electricity,GJ,,2040,0.0
CL-001,36,PP,Natural Gas,GJ,,2040,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2040,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2040,0.0
CL-001,36,PP,Coal - lignite,GJ,,2040,0.0
CL-001,36,PP,Diesel,GJ,,2040,0.0
CL-001,36,PP,LPG,GJ,,2040,0.0
CL-001,36,PP,Light fuel oil,GJ,,2040,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2040,0.0
CL-001,36,PP,Geothermal,GJ,,2040,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2040,0.0
CL-001,36,PP,Electricity,GJ,,2041,0.0
CL-001,36,PP,Natural Gas,GJ,,2041,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2041,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2041,0.0
CL-001,36,PP,Coal - lignite,GJ,,2041,0.0
CL-001,36,PP,Diesel,GJ,,2041,0.0
CL-001,36,PP,LPG,GJ,,2041,0.0
CL-001,36,PP,Light fuel oil,GJ,,2041,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2041,0.0
CL-001,36,PP,Geothermal,GJ,,2041,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2041,0.0
CL-001,36,PP,Electricity,GJ,,2042,0.0
CL-001,36,PP,Natural Gas,GJ,,2042,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2042,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2042,0.0
CL-001,36,PP,Coal - lignite,GJ,,2042,0.0
CL-001,36,PP,Diesel,GJ,,2042,0.0
CL-001,36,PP,LPG,GJ,,2042,0.0
CL-001,36,PP,Light fuel oil,GJ,,2042,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2042,0.0
CL-001,36,PP,Geothermal,GJ,,2042,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2042,0.0
CL-001,36,PP,Electricity,GJ,,2043,0.0
CL-001,36,PP,Natural Gas,GJ,,2043,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2043,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2043,0.0
CL-001,36,PP,Coal - lignite,GJ,,2043,0.0
CL-001,36,PP,Diesel,GJ,,2043,0.0
CL-001,36,PP,LPG,GJ,,2043,0.0
CL-001,36,PP,Light fuel oil,GJ,,2043,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2043,0.0
CL-001,36,PP,Geothermal,GJ,,2043,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2043,0.0
CL-001,36,PP,Electricity,GJ,,2044,0.0
CL-001,36,PP,Natural Gas,GJ,,2044,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2044,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2044,0.0
CL-001,36,PP,Coal - lignite,GJ,,2044,0.0
CL-001,36,PP,Diesel,GJ,,2044,0.0
CL-001,36,PP,LPG,GJ,,2044,0.0
CL-001,36,PP,Light fuel oil,GJ,,2044,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2044,0.0
CL-001,36,PP,Geothermal,GJ,,2044,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2044,0.0
CL-001,36,PP,Electricity,GJ,,2045,0.0
CL-001,36,PP,Natural Gas,GJ,,2045,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2045,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2045,0.0
CL-001,36,PP,Coal - lignite,GJ,,2045,0.0
CL-001,36,PP,Diesel,GJ,,2045,0.0
CL-001,36,PP,LPG,GJ,,2045,0.0
CL-001,36,PP,Light fuel oil,GJ,,2045,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2045,0.0
CL-001,36,PP,Geothermal,GJ,,2045,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2045,0.0
CL-001,36,PP,Electricity,GJ,,2046,0.0
CL-001,36,PP,Natural Gas,GJ,,2046,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2046,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2046,0.0
CL-001,36,PP,Coal - lignite,GJ,,2046,0.0
CL-001,36,PP,Diesel,GJ,,2046,0.0
CL-001,36,PP,LPG,GJ,,2046,0.0
CL-001,36,PP,Light fuel oil,GJ,,2046,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2046,0.0
CL-001,36,PP,Geothermal,GJ,,2046,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2046,0.0
CL-001,36,PP,Electricity,GJ,,2047,0.0
CL-001,36,PP,Natural Gas,GJ,,2047,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2047,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2047,0.0
CL-001,36,PP,Coal - lignite,GJ,,2047,0.0
CL-001,36,PP,Diesel,GJ,,2047,0.0
CL-001,36,PP,LPG,GJ,,2047,0.0
CL-001,36,PP,Light fuel oil,GJ,,2047,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2047,0.0
CL-001,36,PP,Geothermal,GJ,,2047,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2047,0.0
CL-001,36,PP,Electricity,GJ,,2048,0.0
CL-001,36,PP,Natural Gas,GJ,,2048,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2048,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2048,0.0
CL-001,36,PP,Coal - lignite,GJ,,2048,0.0
CL-001,36,PP,Diesel,GJ,,2048,0.0
CL-001,36,PP,LPG,GJ,,2048,0.0
CL-001,36,PP,Light fuel oil,GJ,,2048,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2048,0.0
CL-001,36,PP,Geothermal,GJ,,2048,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2048,0.0
CL-001,36,PP,Electricity,GJ,,2049,0.0
CL-001,36,PP,Natural Gas,GJ,,2049,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2049,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2049,0.0
CL-001,36,PP,Coal - lignite,GJ,,2049,0.0
CL-001,36,PP,Diesel,GJ,,2049,0.0
CL-001,36,PP,LPG,GJ,,2049,0.0
CL-001,36,PP,Light fuel oil,GJ,,2049,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2049,0.0
CL-001,36,PP,Geothermal,GJ,,2049,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2049,0.0
CL-001,36,PP,Electricity,GJ,,2050,0.0
CL-001,36,PP,Natural Gas,GJ,,2050,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2050,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2050,0.0
CL-001,36,PP,Coal - lignite,GJ,,2050,0.0
CL-001,36,PP,Diesel,GJ,,2050,0.0
CL-001,36,PP,LPG,GJ,,2050,0.0
CL-001,36,PP,Light fuel oil,GJ,,2050,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2050,0.0
CL-001,36,PP,Geothermal,GJ,,2050,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2050,0.0
CL-001,36,PP,Electricity,GJ,,2051,0.0
CL-001,36,PP,Natural Gas,GJ,,2051,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2051,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2051,0.0
CL-001,36,PP,Coal - lignite,GJ,,2051,0.0
CL-001,36,PP,Diesel,GJ,,2051,0.0
CL-001,36,PP,LPG,GJ,,2051,0.0
CL-001,36,PP,Light fuel oil,GJ,,2051,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2051,0.0
CL-001,36,PP,Geothermal,GJ,,2051,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2051,0.0
CL-001,36,PP,Electricity,GJ,,2052,0.0
CL-001,36,PP,Natural Gas,GJ,,2052,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2052,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2052,0.0
CL-001,36,PP,Coal - lignite,GJ,,2052,0.0
CL-001,36,PP,Diesel,GJ,,2052,0.0
CL-001,36,PP,LPG,GJ,,2052,0.0
CL-001,36,PP,Light fuel oil,GJ,,2052,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2052,0.0
CL-001,36,PP,Geothermal,GJ,,2052,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2052,0.0
CL-001,36,PP,Electricity,GJ,,2053,0.0
CL-001,36,PP,Natural Gas,GJ,,2053,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2053,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2053,0.0
CL-001,36,PP,Coal - lignite,GJ,,2053,0.0
CL-001,36,PP,Diesel,GJ,,2053,0.0
CL-001,36,PP,LPG,GJ,,2053,0.0
CL-001,36,PP,Light fuel oil,GJ,,2053,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2053,0.0
CL-001,36,PP,Geothermal,GJ,,2053,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2053,0.0
CL-001,36,PP,Electricity,GJ,,2054,0.0
CL-001,36,PP,Natural Gas,GJ,,2054,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2054,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2054,0.0
CL-001,36,PP,Coal - lignite,GJ,,2054,0.0
CL-001,36,PP,Diesel,GJ,,2054,0.0
CL-001,36,PP,LPG,GJ,,2054,0.0
CL-001,36,PP,Light fuel oil,GJ,,2054,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2054,0.0
CL-001,36,PP,Geothermal,GJ,,2054,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2054,0.0
CL-001,36,PP,Electricity,GJ,,2055,0.0
CL-001,36,PP,Natural Gas,GJ,,2055,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2055,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2055,0.0
CL-001,36,PP,Coal - lignite,GJ,,2055,0.0
CL-001,36,PP,Diesel,GJ,,2055,0.0
CL-001,36,PP,LPG,GJ,,2055,0.0
CL-001,36,PP,Light fuel oil,GJ,,2055,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2055,0.0
CL-001,36,PP,Geothermal,GJ,,2055,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2055,0.0
CL-001,36,PP,Electricity,GJ,,2056,0.0
CL-001,36,PP,Natural Gas,GJ,,2056,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2056,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2056,0.0
CL-001,36,PP,Coal - lignite,GJ,,2056,0.0
CL-001,36,PP,Diesel,GJ,,2056,0.0
CL-001,36,PP,LPG,GJ,,2056,0.0
CL-001,36,PP,Light fuel oil,GJ,,2056,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2056,0.0
CL-001,36,PP,Geothermal,GJ,,2056,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2056,0.0
CL-001,36,PP,Electricity,GJ,,2057,0.0
CL-001,36,PP,Natural Gas,GJ,,2057,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2057,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2057,0.0
CL-001,36,PP,Coal - lignite,GJ,,2057,0.0
CL-001,36,PP,Diesel,GJ,,2057,0.0
CL-001,36,PP,LPG,GJ,,2057,0.0
CL-001,36,PP,Light fuel oil,GJ,,2057,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2057,0.0
CL-001,36,PP,Geothermal,GJ,,2057,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2057,0.0
CL-001,36,PP,Electricity,GJ,,2058,0.0
CL-001,36,PP,Natural Gas,GJ,,2058,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2058,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2058,0.0
CL-001,36,PP,Coal - lignite,GJ,,2058,0.0
CL-001,36,PP,Diesel,GJ,,2058,0.0
CL-001,36,PP,LPG,GJ,,2058,0.0
CL-001,36,PP,Light fuel oil,GJ,,2058,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2058,0.0
CL-001,36,PP,Geothermal,GJ,,2058,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2058,0.0
CL-001,36,PP,Electricity,GJ,,2059,0.0
CL-001,36,PP,Natural Gas,GJ,,2059,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2059,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2059,0.0
CL-001,36,PP,Coal - lignite,GJ,,2059,0.0
CL-001,36,PP,Diesel,GJ,,2059,0.0
CL-001,36,PP,LPG,GJ,,2059,0.0
CL-001,36,PP,Light fuel oil,GJ,,2059,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2059,0.0
CL-001,36,PP,Geothermal,GJ,,2059,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2059,0.0
CL-001,36,PP,Electricity,GJ,,2060,0.0
CL-001,36,PP,Natural Gas,GJ,,2060,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2060,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2060,0.0
CL-001,36,PP,Coal - lignite,GJ,,2060,0.0
CL-001,36,PP,Diesel,GJ,,2060,0.0
CL-001,36,PP,LPG,GJ,,2060,0.0
CL-001,36,PP,Light fuel oil,GJ,,2060,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2060,0.0
CL-001,36,PP,Geothermal,GJ,,2060,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2060,0.0
CL-001,36,PP,Electricity,GJ,,2061,0.0
CL-001,36,PP,Natural Gas,GJ,,2061,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2061,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2061,0.0
CL-001,36,PP,Coal - lignite,GJ,,2061,0.0
CL-001,36,PP,Diesel,GJ,,2061,0.0
CL-001,36,PP,LPG,GJ,,2061,0.0
CL-001,36,PP,Light fuel oil,GJ,,2061,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2061,0.0
CL-001,36,PP,Geothermal,GJ,,2061,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2061,0.0
CL-001,36,PP,Electricity,GJ,,2062,0.0
CL-001,36,PP,Natural Gas,GJ,,2062,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2062,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2062,0.0
CL-001,36,PP,Coal - lignite,GJ,,2062,0.0
CL-001,36,PP,Diesel,GJ,,2062,0.0
CL-001,36,PP,LPG,GJ,,2062,0.0
CL-001,36,PP,Light fuel oil,GJ,,2062,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2062,0.0
CL-001,36,PP,Geothermal,GJ,,2062,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2062,0.0
CL-001,36,PP,Electricity,GJ,,2063,0.0
CL-001,36,PP,Natural Gas,GJ,,2063,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2063,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2063,0.0
CL-001,36,PP,Coal - lignite,GJ,,2063,0.0
CL-001,36,PP,Diesel,GJ,,2063,0.0
CL-001,36,PP,LPG,GJ,,2063,0.0
CL-001,36,PP,Light fuel oil,GJ,,2063,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2063,0.0
CL-001,36,PP,Geothermal,GJ,,2063,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2063,0.0
CL-001,36,PP,Electricity,GJ,,2064,0.0
CL-001,36,PP,Natural Gas,GJ,,2064,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2064,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2064,0.0
CL-001,36,PP,Coal - lignite,GJ,,2064,0.0
CL-001,36,PP,Diesel,GJ,,2064,0.0
CL-001,36,PP,LPG,GJ,,2064,0.0
CL-001,36,PP,Light fuel oil,GJ,,2064,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2064,0.0
CL-001,36,PP,Geothermal,GJ,,2064,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2064,0.0
CL-001,36,PP,Electricity,GJ,,2065,0.0
CL-001,36,PP,Natural Gas,GJ,,2065,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2065,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2065,0.0
CL-001,36,PP,Coal - lignite,GJ,,2065,0.0
CL-001,36,PP,Diesel,GJ,,2065,0.0
CL-001,36,PP,LPG,GJ,,2065,0.0
CL-001,36,PP,Light fuel oil,GJ,,2065,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2065,0.0
CL-001,36,PP,Geothermal,GJ,,2065,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2065,0.0
CL-001,36,PP,Electricity,GJ,,2066,0.0
CL-001,36,PP,Natural Gas,GJ,,2066,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2066,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2066,0.0
CL-001,36,PP,Coal - lignite,GJ,,2066,0.0
CL-001,36,PP,Diesel,GJ,,2066,0.0
CL-001,36,PP,LPG,GJ,,2066,0.0
CL-001,36,PP,Light fuel oil,GJ,,2066,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2066,0.0
CL-001,36,PP,Geothermal,GJ,,2066,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2066,0.0
CL-001,36,PP,Electricity,GJ,,2067,0.0
CL-001,36,PP,Natural Gas,GJ,,2067,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2067,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2067,0.0
CL-001,36,PP,Coal - lignite,GJ,,2067,0.0
CL-001,36,PP,Diesel,GJ,,2067,0.0
CL-001,36,PP,LPG,GJ,,2067,0.0
CL-001,36,PP,Light fuel oil,GJ,,2067,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2067,0.0
CL-001,36,PP,Geothermal,GJ,,2067,0.0
