Opex item,Value basis,Base year,Applicant comment,ProjectId,LifeCycleMonths,Scenario,ExpenseType,Year,Cost
Other,Real,2025,,CL-001,36,PP,opex,2032,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2033,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2033,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2033,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2033,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2033,0.0
Other,Real,2025,,CL-001,36,PP,opex,2033,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2034,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2034,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2034,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2034,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2034,0.0
Other,Real,2025,,CL-001,36,PP,opex,2034,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2035,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2035,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2035,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2035,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2035,0.0
Other,Real,2025,,CL-001,36,PP,opex,2035,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2036,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2036,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2036,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2036,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2036,0.0
Other,Real,2025,,CL-001,36,PP,opex,2036,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2037,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2037,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2037,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2037,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2037,0.0
Other,Real,2025,,CL-001,36,PP,opex,2037,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2038,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2038,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2038,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2038,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2038,0.0
Other,Real,2025,,CL-001,36,PP,opex,2038,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2039,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2039,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2039,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2039,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2039,0.0
Other,Real,2025,,CL-001,36,PP,opex,2039,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2040,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2040,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2040,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2040,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2040,0.0
Other,Real,2025,,CL-001,36,PP,opex,2040,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2041,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2041,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2041,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2041,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2041,0.0
Other,Real,2025,,CL-001,36,PP,opex,2041,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2042,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2042,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2042,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2042,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2042,0.0
Other,Real,2025,,CL-001,36,PP,opex,2042,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2043,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2043,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2043,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2043,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2043,0.0
Other,Real,2025,,CL-001,36,PP,opex,2043,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2044,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2044,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2044,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2044,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2044,0.0
Other,Real,2025,,CL-001,36,PP,opex,2044,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2045,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2045,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2045,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2045,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2045,0.0
Other,Real,2025,,CL-001,36,PP,opex,2045,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2046,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2046,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2046,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2046,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2046,0.0
Other,Real,2025,,CL-001,36,PP,opex,2046,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2047,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2047,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2047,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2047,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2047,0.0
Other,Real,2025,,CL-001,36,PP,opex,2047,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2048,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2048,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2048,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2048,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2048,0.0
Other,Real,2025,,CL-001,36,PP,opex,2048,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2049,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2049,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2049,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2049,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2049,0.0
Other,Real,2025,,CL-001,36,PP,opex,2049,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2050,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2050,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2050,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2050,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2050,0.0
Other,Real,2025,,CL-001,36,PP,opex,2050,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2051,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2051,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2051,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2051,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2051,0.0
Other,Real,2025,,CL-001,36,PP,opex,2051,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2052,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2052,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2052,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2052,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2052,0.0
Other,Real,2025,,CL-001,36,PP,opex,2052,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2053,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2053,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2053,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2053,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2053,0.0
Other,Real,2025,,CL-001,36,PP,opex,2053,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2054,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2054,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2054,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2054,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2054,0.0
Other,Real,2025,,CL-001,36,PP,opex,2054,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2055,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2055,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2055,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2055,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2055,0.0
Other,Real,2025,,CL-001,36,PP,opex,2055,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2056,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2056,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2056,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2056,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2056,0.0
Other,Real,2025,,CL-001,36,PP,opex,2056,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2057,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2057,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2057,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2057,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2057,0.0
Other,Real,2025,,CL-001,36,PP,opex,2057,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2058,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2058,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2058,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2058,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2058,0.0
Other,Real,2025,,CL-001,36,PP,opex,2058,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2059,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2059,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2059,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2059,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2059,0.0
Other,Real,2025,,CL-001,36,PP,opex,2059,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2060,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2060,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2060,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2060,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2060,0.0
Other,Real,2025,,CL-001,36,PP,opex,2060,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2061,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2061,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2061,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2061,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2061,0.0
Other,Real,2025,,CL-001,36,PP,opex,2061,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2062,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2062,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2062,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2062,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2062,0.0
Other,Real,2025,,CL-001,36,PP,opex,2062,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2063,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2063,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2063,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2063,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2063,0.0
Other,Real,2025,,CL-001,36,PP,opex,2063,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2064,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2064,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2064,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2064,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2064,0.0
Other,Real,2025,,CL-001,36,PP,opex,2064,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2065,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2065,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2065,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2065,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2065,0.0
Other,Real,2025,,CL-001,36,PP,opex,2065,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2066,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2066,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2066,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2066,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2066,0.0
Other,Real,2025,,CL-001,36,PP,opex,2066,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2067,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2067,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2067,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2067,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2067,0.0
Other,Real,2025,,CL-001,36,PP,opex,2067,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2068,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2068,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2068,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2068,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2068,0.0
Other,Real,2025,,CL-001,36,PP,opex,2068,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2069,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2069,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2069,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2069,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2069,0.0
Other,Real,2025,,CL-001,36,PP,opex,2069,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2070,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2070,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2070,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2070,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2070,0.0
Other,Real,2025,,CL-001,36,PP,opex,2070,0.0
